            table_name             |           column_name            
 nfse_issuances                    | xml_url
 nfse_issuances                    | cancelled_reason
 nfse_issuances                    | rejected_reason
 commission_deal_entries           | client_name
 commission_deal_entries           | deal_title
 commission_deal_entries           | payment_method
 commission_deal_entries           | payment_option
 commission_deal_entries           | payment_status
 commission_deal_entries           | commission_status
 commission_deal_entries           | notes
 commission_deal_entries           | approval_status
 commission_deal_entries           | approval_requested_reason
 commission_deal_entries           | approval_reason
 commission_deal_entries           | rejection_reason
 client_ryka_provisions            | email
 client_ryka_provisions            | phone
 client_ryka_provisions            | status
 client_ryka_provisions            | error
 client_ryka_provisions            | whatsapp_status
 client_ryka_provisions            | whatsapp_error
 hr_departments                    | name
 hr_departments                    | description
 hr_departments                    | color
 insights_dashboard_shares         | share_token
 oauth_states                      | state
 oauth_states                      | provider
 oauth_states                      | redirect_path
 sales_call_analyses               | analysis
 sales_call_analyses               | transcript_preview
 sales_call_analyses               | call_outcome
 sales_call_analyses               | outcome_notes
 sales_call_analyses               | source_filename
 sales_call_analyses               | source_hash
 sales_call_analyses               | extracted_seller_name
 sales_call_analyses               | extracted_lead_name
 financial_import_batches          | source
 financial_import_batches          | filename
 financial_import_batches          | status
 financial_import_batches          | notes
 integrations                      | sector_id
 integrations                      | pin_hash
 integrations                      | display_name
 marketing_links                   | name
 marketing_links                   | destination_url
 marketing_links                   | full_url
 marketing_links                   | utm_source
 marketing_links                   | utm_medium
 marketing_links                   | utm_campaign
 marketing_links                   | utm_content
 marketing_links                   | utm_term
 marketing_links                   | meta_campaign_id
 marketing_links                   | meta_campaign_name
 marketing_links                   | notes
 reminder_campaigns                | name
 reminder_campaigns                | message_template
 reminder_campaigns                | email_subject
 reminder_campaigns                | auto_type
 instagram_posts                   | instagram_id
 instagram_posts                   | post_type
 instagram_posts                   | caption
 instagram_posts                   | thumbnail_url
 instagram_posts                   | permalink
 instagram_posts                   | ai_objective
 instagram_posts                   | collaborator
 instagram_posts                   | theme
 instagram_posts                   | specialist_version
 user_meta_tokens                  | access_token
 user_meta_tokens                  | token_type
 user_meta_tokens                  | meta_user_id
 user_meta_tokens                  | meta_user_name
 ops_workload_ai_reports           | period_label
 ops_workload_ai_reports           | gemini_content
 ops_workload_ai_reports           | gpt_content
 ops_workload_ai_reports           | gemini_error
 ops_workload_ai_reports           | gpt_error
 financial_classification_rules    | pattern
 financial_classification_rules    | pattern_type
 financial_classification_rules    | suggested_description
 support_knowledge_base            | title
 support_knowledge_base            | content
 support_knowledge_base            | category
 zapp_transfers                    | reason
 sales_product_goals               | year_month
 ai_suggestion_feedback            | sector_id
 ai_suggestion_feedback            | suggestion_type
 ai_suggestion_feedback            | original_text
 ai_suggestion_feedback            | suggested_text
 ai_suggestion_feedback            | feedback
 ai_suggestion_feedback            | final_text_sent
 ai_suggestion_feedback            | client_sentiment
 boletos                           | barcode
 boletos                           | digitable_line
 boletos                           | our_number
 boletos                           | document_number
 boletos                           | status
 boletos                           | bank_code
 boletos                           | bank_name
 boletos                           | external_id
 boletos                           | external_url
 boletos                           | pdf_url
 boletos                           | description
 boletos                           | notes
 api_key_logs                      | method
 api_key_logs                      | path
 api_key_logs                      | ip_address
 api_key_logs                      | user_agent
 call_links                        | title
 call_links                        | url
 call_links                        | notes
 sales_quotas                      | notes
 marketing_ideas                   | title
 marketing_ideas                   | hook
 marketing_ideas                   | description
 marketing_ideas                   | format
 marketing_ideas                   | platform
 marketing_ideas                   | status
 marketing_ideas                   | priority
 marketing_ideas                   | thumbnail_url
 marketing_ideas                   | caption
 marketing_ideas                   | publish_platform
 marketing_ideas                   | published_url
 hr_benefits                       | benefit_type
 hr_benefits                       | provider
 hr_benefits                       | plan_name
 hr_benefits                       | status
 hr_benefits                       | card_number
 hr_benefits                       | notes
 payment_methods                   | name
 payment_methods                   | contract_label
 payment_methods                   | category
 api_keys                          | name
 api_keys                          | key_hash
 api_keys                          | key_preview
